// Pharaoh_Unloaded.sg3
INFO: 431 --- bigpeople.BMP:3, 55x79, type 1
INFO: 432 --- bigpeople.BMP:4, 55x79, type 1
INFO: 433 --- bigpeople.BMP:5, 55x79, type 1
INFO: 434 --- bigpeople.BMP:6, 55x79, type 1
INFO: 435 --- bigpeople.BMP:7, 55x79, type 1
INFO: 436 --- bigpeople.BMP:8, 55x79, type 1
INFO: 437 --- bigpeople.BMP:9, 55x79, type 1
INFO: 438 --- bigpeople.BMP:10, 55x79, type 1
INFO: 439 --- bigpeople.BMP:11, 55x79, type 1
INFO: 440 --- bigpeople.BMP:12, 55x79, type 1
INFO: 441 --- bigpeople.BMP:13, 55x79, type 1
INFO: 442 --- bigpeople.BMP:14, 55x79, type 1
INFO: 443 --- bigpeople.BMP:15, 55x79, type 1
INFO: 444 --- bigpeople.BMP:16, 55x79, type 1
INFO: 445 --- bigpeople.BMP:17, 55x79, type 1
INFO: 446 --- bigpeople.BMP:18, 55x79, type 1
INFO: 447 --- bigpeople.BMP:19, 55x79, type 1
INFO: 448 --- bigpeople.BMP:20, 55x79, type 1
INFO: 449 --- bigpeople.BMP:21, 55x79, type 1
INFO: 450 --- bigpeople.BMP:22, 55x79, type 1
INFO: 451 --- bigpeople.BMP:23, 55x79, type 1
INFO: 452 --- bigpeople.BMP:24, 55x79, type 1
INFO: 453 --- bigpeople.BMP:25, 55x79, type 1
INFO: 454 --- bigpeople.BMP:26, 55x79, type 1
INFO: 455 --- bigpeople.BMP:27, 55x79, type 1
INFO: 456 --- bigpeople.BMP:28, 55x79, type 1
INFO: 457 --- bigpeople.BMP:29, 55x79, type 1
INFO: 458 --- bigpeople.BMP:30, 55x79, type 1
INFO: 459 --- bigpeople.BMP:31, 55x79, type 1
INFO: 460 --- bigpeople.BMP:32, 73x79, type 1
INFO: 461 --- bigpeople.BMP:33, 58x79, type 1
INFO: 462 --- bigpeople.BMP:34, 65x79, type 1
INFO: 463 --- bigpeople.BMP:35, 65x79, type 1
INFO: 464 --- bigpeople.BMP:36, 55x79, type 1
INFO: 465 --- bigpeople.BMP:37, 55x79, type 1
INFO: 466 --- bigpeople.BMP:38, 55x79, type 1
INFO: 467 --- bigpeople.BMP:39, 55x79, type 1
INFO: 468 --- bigpeople.BMP:40, 55x79, type 1
INFO: 469 --- bigpeople.BMP:41, 55x79, type 1
INFO: 470 --- bigpeople.BMP:42, 55x79, type 1
INFO: 471 --- bigpeople.BMP:43, 55x79, type 1
INFO: 472 --- bigpeople.BMP:44, 55x79, type 1
INFO: 473 --- bigpeople.BMP:45, 55x79, type 1
INFO: 474 --- bigpeople.BMP:46, 55x79, type 1
INFO: 475 --- bigpeople.BMP:47, 55x79, type 1
INFO: 476 --- bigpeople.BMP:48, 56x79, type 1
INFO: 477 --- bigpeople.BMP:49, 55x79, type 1
INFO: 478 --- bigpeople.BMP:50, 55x79, type 1
INFO: 479 --- bigpeople.BMP:51, 55x79, type 1
INFO: 480 --- bigpeople.BMP:52, 55x79, type 1
INFO: 481 --- bigpeople.BMP:53, 55x79, type 1
INFO: 482 --- bigpeople.BMP:54, 55x79, type 1
INFO: 483 --- bigpeople.BMP:55, 55x79, type 1
INFO: 484 --- bigpeople.BMP:56, 55x79, type 1
INFO: 485 --- bigpeople.BMP:57, 55x79, type 1
INFO: 486 --- bigpeople.BMP:58, 55x79, type 1
INFO: 487 --- bigpeople.BMP:59, 55x79, type 1
INFO: 488 --- bigpeople.BMP:60, 55x79, type 1
INFO: 489 --- bigpeople.BMP:61, 55x79, type 1
INFO: 490 --- bigpeople.BMP:62, 55x79, type 1
INFO: 491 --- bigpeople.BMP:63, 55x79, type 1
INFO: 492 --- Mapback.bmp:1, 1024x768, type 1
INFO: 493 --- Egypt01.bmp:1, 640x400, type 1
INFO: 494 --- Egypt01.bmp:2, 640x400, type 1
INFO: 495 --- Egypt01.bmp:3, 640x400, type 1
INFO: 496 --- Egypt01.bmp:4, 640x400, type 1
